Country,year,ASMR_per_100k,age,Cause of death
Norway,2013,3.363497268,all ages,(D50-D89) Blood & blood-forming organs/ immune
Norway,2013,23.51413964,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Norway,2013,52.15683844,all ages,(F) Mental & behavioural disorders
Norway,2013,41.35889827,all ages,(G_H) Nervous system/ eye/ ear
Norway,2013,287.7502872,all ages,(I) Circulatory system
Norway,2013,96.8296446,all ages,(J) Rrespiratory system
Norway,2013,28.05440689,all ages,(K) Digestive system
Norway,2013,2.495746033,all ages,(L) Skin & subcutaneous tissue
Norway,2013,5.931807156,all ages,(M) Musculoskeletal system & connective tissue  
Norway,2013,18.74182377,all ages,(N) Genitourinary system
Norway,2013,0.037040117,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Norway,2013,1.283199371,all ages,(P) Perinatal period
Norway,2013,2.723587506,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Norway,2013,36.44365694,all ages,(R) Abnormal-not elsewhere classified
Norway,2013,0,all ages,(U071) Covid19 identified
Norway,2013,0,all ages,(U072) Covid19 not identified
Poland,2013,6.050817388,all ages,(A_B) Infectious & parasitic diseases
Poland,2013,292.6278254,all ages,(C) Malignant Neoplasms
Poland,2013,16.0185667,all ages,(D00-D48) Neoplasms
Poland,2013,0.963111324,all ages,(D50-D89) Blood & blood-forming organs/ immune
Poland,2013,26.19144357,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Poland,2013,4.256700278,all ages,(F) Mental & behavioural disorders
Poland,2013,18.675987,all ages,(G_H) Nervous system/ eye/ ear
Poland,2013,632.6371731,all ages,(I) Circulatory system
Poland,2013,79.5239096,all ages,(J) Rrespiratory system
Poland,2013,51.36664306,all ages,(K) Digestive system
Poland,2013,0.566849274,all ages,(L) Skin & subcutaneous tissue
Poland,2013,1.857458519,all ages,(M) Musculoskeletal system & connective tissue  
Poland,2013,15.13592823,all ages,(N) Genitourinary system
Poland,2013,0.015053614,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Poland,2013,2.099321506,all ages,(P) Perinatal period
Poland,2013,2.326383485,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Poland,2013,88.57933008,all ages,(R) Abnormal-not elsewhere classified
Poland,2013,0,all ages,(U071) Covid19 identified
Poland,2013,0,all ages,(U072) Covid19 not identified
Portugal,2013,23.06432264,all ages,(A_B) Infectious & parasitic diseases
Portugal,2013,243.1566366,all ages,(C) Malignant Neoplasms
Portugal,2013,4.54700841,all ages,(D00-D48) Neoplasms
Portugal,2013,4.408569972,all ages,(D50-D89) Blood & blood-forming organs/ immune
Portugal,2013,54.73672602,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Portugal,2013,22.03730018,all ages,(F) Mental & behavioural disorders
Portugal,2013,33.32241002,all ages,(G_H) Nervous system/ eye/ ear
Portugal,2013,306.0848613,all ages,(I) Circulatory system
Portugal,2013,124.1755339,all ages,(J) Rrespiratory system
Portugal,2013,43.56658487,all ages,(K) Digestive system
Portugal,2013,0.808307771,all ages,(L) Skin & subcutaneous tissue
Portugal,2013,3.606870229,all ages,(M) Musculoskeletal system & connective tissue  
Portugal,2013,28.77368908,all ages,(N) Genitourinary system
Portugal,2013,0.045620881,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Portugal,2013,1.482347361,all ages,(P) Perinatal period
Portugal,2013,1.598447749,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Portugal,2013,92.65979029,all ages,(R) Abnormal-not elsewhere classified
Portugal,2013,0,all ages,(U071) Covid19 identified
Portugal,2013,0,all ages,(U072) Covid19 not identified
Romania,2013,12.6666058,all ages,(A_B) Infectious & parasitic diseases
Romania,2013,270.4548528,all ages,(C) Malignant Neoplasms
Romania,2013,1.648124752,all ages,(D00-D48) Neoplasms
Romania,2013,0.719655386,all ages,(D50-D89) Blood & blood-forming organs/ immune
Romania,2013,13.33700862,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Romania,2013,1.153921158,all ages,(F) Mental & behavioural disorders
Romania,2013,19.08124527,all ages,(G_H) Nervous system/ eye/ ear
Romania,2013,961.8501772,all ages,(I) Circulatory system
Romania,2013,75.39326406,all ages,(J) Rrespiratory system
Romania,2013,76.10348684,all ages,(K) Digestive system
Romania,2013,0.485149161,all ages,(L) Skin & subcutaneous tissue
Romania,2013,0.249514451,all ages,(M) Musculoskeletal system & connective tissue  
Romania,2013,18.65575107,all ages,(N) Genitourinary system
Romania,2013,0.124511714,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Romania,2013,3.375459544,all ages,(P) Perinatal period
Romania,2013,2.550443879,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Romania,2013,2.304643932,all ages,(R) Abnormal-not elsewhere classified
Romania,2013,0,all ages,(U071) Covid19 identified
Romania,2013,0,all ages,(U072) Covid19 not identified
Slovenia,2013,6.471918296,all ages,(A_B) Infectious & parasitic diseases
Slovenia,2013,315.0383269,all ages,(C) Malignant Neoplasms
Slovenia,2013,2.607608006,all ages,(D00-D48) Neoplasms
Slovenia,2013,1.246757725,all ages,(D50-D89) Blood & blood-forming organs/ immune
Slovenia,2013,20.92006625,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Slovenia,2013,10.02960918,all ages,(F) Mental & behavioural disorders
Slovenia,2013,20.3059969,all ages,(G_H) Nervous system/ eye/ ear
Slovenia,2013,443.8890181,all ages,(I) Circulatory system
Slovenia,2013,79.8723213,all ages,(J) Rrespiratory system
Slovenia,2013,57.93478555,all ages,(K) Digestive system
Slovenia,2013,1.863527834,all ages,(L) Skin & subcutaneous tissue
